Context,Locale,Key,Value
kapps.gbmembers.forms.member,en-US,Additional Email,
kapps.gbmembers.forms.member,en-US,Additional Phone Number,
kapps.gbmembers.forms.member,en-US,Additional Program 1,
kapps.gbmembers.forms.member,en-US,Additional Program 2,
kapps.gbmembers.forms.member,en-US,Address,
kapps.gbmembers.forms.member,en-US,Admin Fee,
kapps.gbmembers.forms.member,en-US,Alternate Barcode,
kapps.gbmembers.forms.member,en-US,Attendance Count,
kapps.gbmembers.forms.member,en-US,Biller Migrated,
kapps.gbmembers.forms.member,en-US,Billing Address,
kapps.gbmembers.forms.member,en-US,Billing Cash Term End Date,
kapps.gbmembers.forms.member,en-US,Billing Cash Term Start Date,
kapps.gbmembers.forms.member,en-US,Billing Changes,
kapps.gbmembers.forms.member,en-US,Billing Customer Id,
kapps.gbmembers.forms.member,en-US,Billing Customer Reference,
kapps.gbmembers.forms.member,en-US,Billing Email,
kapps.gbmembers.forms.member,en-US,Billing Family Members,
kapps.gbmembers.forms.member,en-US,Billing First Name,
kapps.gbmembers.forms.member,en-US,Billing Info Form Id,
kapps.gbmembers.forms.member,en-US,Billing Last Name,
kapps.gbmembers.forms.member,en-US,Billing Members,
kapps.gbmembers.forms.member,en-US,Billing Parent Member,
kapps.gbmembers.forms.member,en-US,Billing Payment Period,
kapps.gbmembers.forms.member,en-US,Billing Payment Type,
kapps.gbmembers.forms.member,en-US,Billing Period,
kapps.gbmembers.forms.member,en-US,Billing Phone Number,
kapps.gbmembers.forms.member,en-US,Billing Postcode,
kapps.gbmembers.forms.member,en-US,Billing Safe Id,
kapps.gbmembers.forms.member,en-US,Billing Start Date,
kapps.gbmembers.forms.member,en-US,Billing State,
kapps.gbmembers.forms.member,en-US,Billing Suburb,
kapps.gbmembers.forms.member,en-US,Billing User,
kapps.gbmembers.forms.member,en-US,Covid19 Waiver,
kapps.gbmembers.forms.member,en-US,Credit Card Expiry Month,
kapps.gbmembers.forms.member,en-US,Credit Card Expiry Year,
kapps.gbmembers.forms.member,en-US,Date Joined,
kapps.gbmembers.forms.member,en-US,DDR Status,
kapps.gbmembers.forms.member,en-US,DOB,
kapps.gbmembers.forms.member,en-US,Email,
kapps.gbmembers.forms.member,en-US,Emails Received Count,
kapps.gbmembers.forms.member,en-US,Emails Sent Count,
kapps.gbmembers.forms.member,en-US,Emergency Contact Name,
kapps.gbmembers.forms.member,en-US,Emergency Contact Phone,
kapps.gbmembers.forms.member,en-US,Emergency Contact Relationship,
kapps.gbmembers.forms.member,en-US,Family Fee Details,
kapps.gbmembers.forms.member,en-US,Family Member Order,
kapps.gbmembers.forms.member,en-US,Father Covid Check,
kapps.gbmembers.forms.member,en-US,Fee Program,
kapps.gbmembers.forms.member,en-US,First Name,
kapps.gbmembers.forms.member,en-US,First Payment,
kapps.gbmembers.forms.member,en-US,Gender,
kapps.gbmembers.forms.member,en-US,Is New Reply Received,
kapps.gbmembers.forms.member,en-US,Last Attendance Date,
kapps.gbmembers.forms.member,en-US,Last Name,
kapps.gbmembers.forms.member,en-US,Last Payment Date,
kapps.gbmembers.forms.member,en-US,Last Promotion,
kapps.gbmembers.forms.member,en-US,Lead History,
kapps.gbmembers.forms.member,en-US,Lead Source,
kapps.gbmembers.forms.member,en-US,Lead Submission ID,
kapps.gbmembers.forms.member,en-US,Main,
kapps.gbmembers.forms.member,en-US,Max Weekly Classes,
kapps.gbmembers.forms.member,en-US,Medical Allergies,
kapps.gbmembers.forms.member,en-US,Member,
kapps.gbmembers.forms.member,en-US,Member Changes,
kapps.gbmembers.forms.member,en-US,Member ID,
kapps.gbmembers.forms.member,en-US,Member Type,
kapps.gbmembers.forms.member,en-US,Membership Cost,
kapps.gbmembers.forms.member,en-US,Membership TAX 1,
kapps.gbmembers.forms.member,en-US,Membership TAX 2,
kapps.gbmembers.forms.member,en-US,Membership TAX 3,
kapps.gbmembers.forms.member,en-US,Mother Covid Check,
kapps.gbmembers.forms.member,en-US,Next Schedule Promotion,
kapps.gbmembers.forms.member,en-US,Non Paying,
kapps.gbmembers.forms.member,en-US,Notes History,
kapps.gbmembers.forms.member,en-US,Opt-Out,
kapps.gbmembers.forms.member,en-US,Payment,
kapps.gbmembers.forms.member,en-US,Payment Method,
kapps.gbmembers.forms.member,en-US,Payment Schedule,
kapps.gbmembers.forms.member,en-US,Phone Number,
kapps.gbmembers.forms.member,en-US,Photo,
kapps.gbmembers.forms.member,en-US,POS Profile ID,
kapps.gbmembers.forms.member,en-US,Postcode,Zip
kapps.gbmembers.forms.member,en-US,Ranking Belt,
kapps.gbmembers.forms.member,en-US,Ranking Program,
kapps.gbmembers.forms.member,en-US,Refunded Payments,
kapps.gbmembers.forms.member,en-US,Reminder Date,
kapps.gbmembers.forms.member,en-US,Resume Date,
kapps.gbmembers.forms.member,en-US,SMS Received Count,
kapps.gbmembers.forms.member,en-US,SMS Sent Count,
kapps.gbmembers.forms.member,en-US,State,
kapps.gbmembers.forms.member,en-US,Status,
kapps.gbmembers.forms.member,en-US,Status History,
kapps.gbmembers.forms.member,en-US,Student Covid Check,
kapps.gbmembers.forms.member,en-US,Submit,
kapps.gbmembers.forms.member,en-US,Suburb,City
kapps.services.forms.kids-registration,en-US,Accept Gracie Barra Waiver,
kapps.services.forms.kids-registration,en-US,Accept Gracie Barra Waiver is required,
kapps.services.forms.kids-registration,en-US,Address is required,
kapps.services.forms.kids-registration,en-US,"Address<button class=""editButton""  onclick=""enabledAddressEdit()"">Manually Enter</button>",
kapps.services.forms.kids-registration,en-US,Any medical conditions we need to be aware of ?,
kapps.services.forms.kids-registration,en-US,Any medical conditions we need to be aware of is required,
kapps.services.forms.kids-registration,en-US,Art of Jiu Jitsu,
kapps.services.forms.kids-registration,en-US,balance,
kapps.services.forms.kids-registration,en-US,character development,
kapps.services.forms.kids-registration,en-US,City,
kapps.services.forms.kids-registration,en-US,City is required,
kapps.services.forms.kids-registration,en-US,competition,
kapps.services.forms.kids-registration,en-US,concentration,
kapps.services.forms.kids-registration,en-US,coordination,
kapps.services.forms.kids-registration,en-US,Country,
kapps.services.forms.kids-registration,en-US,Date of birth,
kapps.services.forms.kids-registration,en-US,Date of birth is required,
kapps.services.forms.kids-registration,en-US,discipline,
kapps.services.forms.kids-registration,en-US,Do you have any previous martial arts experience?,
kapps.services.forms.kids-registration,en-US,Do you participate in any current sport or activity?,
kapps.services.forms.kids-registration,en-US,Email,
kapps.services.forms.kids-registration,en-US,Email is required,
kapps.services.forms.kids-registration,en-US,Emergency Contact Information,
kapps.services.forms.kids-registration,en-US,Emergency Contact Name is required,
kapps.services.forms.kids-registration,en-US,Emergency Contact Phone is required,
kapps.services.forms.kids-registration,en-US,Emergency Contact Relationship is required,
kapps.services.forms.kids-registration,en-US,Encoded Person Signature,
kapps.services.forms.kids-registration,en-US,excercise,
kapps.services.forms.kids-registration,en-US,Facebook,
kapps.services.forms.kids-registration,en-US,Family,
kapps.services.forms.kids-registration,en-US,Female,
kapps.services.forms.kids-registration,en-US,First Name,
kapps.services.forms.kids-registration,en-US,First Name is required,
kapps.services.forms.kids-registration,en-US,focus,
kapps.services.forms.kids-registration,en-US,FridayTime,
kapps.services.forms.kids-registration,en-US,Friend,
kapps.services.forms.kids-registration,en-US,fun,
kapps.services.forms.kids-registration,en-US,Gender,
kapps.services.forms.kids-registration,en-US,Gender is required,
kapps.services.forms.kids-registration,en-US,Google,
kapps.services.forms.kids-registration,en-US,"Gracie Barra <a href=""javascript:$(K('section[Waiver]').element()).toggle('slow')"">Waiver</a>",
kapps.services.forms.kids-registration,en-US,Health Information,
kapps.services.forms.kids-registration,en-US,How did you find out about us is required,
kapps.services.forms.kids-registration,en-US,How did you find out about us?,
kapps.services.forms.kids-registration,en-US,How long since you have been involved in any sports activity?,
kapps.services.forms.kids-registration,en-US,How many days a week would you like to train is required,
kapps.services.forms.kids-registration,en-US,How many days a week would you like to train?,
kapps.services.forms.kids-registration,en-US,"If yes, How can we help?",
kapps.services.forms.kids-registration,en-US,Instagram,
kapps.services.forms.kids-registration,en-US,Kids Registration,
kapps.services.forms.kids-registration,en-US,Last Name,
kapps.services.forms.kids-registration,en-US,Last Name is required,
kapps.services.forms.kids-registration,en-US,Lead,
kapps.services.forms.kids-registration,en-US,"Lead, Member or Other",
kapps.services.forms.kids-registration,en-US,Leads,
kapps.services.forms.kids-registration,en-US,Male,
kapps.services.forms.kids-registration,en-US,Member,
kapps.services.forms.kids-registration,en-US,Members,
kapps.services.forms.kids-registration,en-US,MondayTime,
kapps.services.forms.kids-registration,en-US,Name,
kapps.services.forms.kids-registration,en-US,No,
kapps.services.forms.kids-registration,en-US,Other,
kapps.services.forms.kids-registration,en-US,Parent or Guardian,
kapps.services.forms.kids-registration,en-US,Parent or Guardian is required,
kapps.services.forms.kids-registration,en-US,Path to Excellence,
kapps.services.forms.kids-registration,en-US,Person Information,
kapps.services.forms.kids-registration,en-US,Personal Jiu Jitsu Objectives,
kapps.services.forms.kids-registration,en-US,Phone,
kapps.services.forms.kids-registration,en-US,Phone is required,
kapps.services.forms.kids-registration,en-US,Postcode,Zip
kapps.services.forms.kids-registration,en-US,Postcode is required,
kapps.services.forms.kids-registration,en-US,reduce stress,
kapps.services.forms.kids-registration,en-US,Relationship,
kapps.services.forms.kids-registration,en-US,Report Information,
kapps.services.forms.kids-registration,en-US,Requested For,
kapps.services.forms.kids-registration,en-US,respect,
kapps.services.forms.kids-registration,en-US,SaturdayTime,
kapps.services.forms.kids-registration,en-US,Select Lead,
kapps.services.forms.kids-registration,en-US,Select Member,
kapps.services.forms.kids-registration,en-US,self confidence,
kapps.services.forms.kids-registration,en-US,self defense,
kapps.services.forms.kids-registration,en-US,Signature required,
kapps.services.forms.kids-registration,en-US,State,
kapps.services.forms.kids-registration,en-US,State is required,
kapps.services.forms.kids-registration,en-US,Submit,
kapps.services.forms.kids-registration,en-US,SundayTime,
kapps.services.forms.kids-registration,en-US,ThursdayTime,
kapps.services.forms.kids-registration,en-US,TuesdayTime,
kapps.services.forms.kids-registration,en-US,Waiver Information Text,
kapps.services.forms.kids-registration,en-US,WednesdayTime,
kapps.services.forms.kids-registration,en-US,What are the three main benefits you expect to get out of your Brazilian Jiu Jitsu training is required,
kapps.services.forms.kids-registration,en-US,What are the three main benefits you expect to get out of your Brazilian Jiu Jitsu training?,
kapps.services.forms.kids-registration,en-US,Word of Mouth,
kapps.services.forms.kids-registration,en-US,Yes,
shared,en-US,Fortnightly,Bi-weekly
shared,en-US,Postcode,Zip
shared,en-US,Suburb,City
